,start,end,min_in_bed,sleep_quality,min_awake,min_rem_sleep,min_light_sleep,min_deep_sleep,total_asleep
192,2022-05-29 18:08:14,2022-05-29 20:29:35,141,93,0,14,70,57,141
193,2022-05-29 23:23:54,2022-05-30 05:28:23,364,86,0,76,91,197,364
194,2022-05-30 22:53:24,2022-05-31 05:59:43,426,94,0,106,170,150,426
195,2022-05-31 12:09:21,2022-05-31 13:59:07,110,78,0,45,23,42,110
196,2022-05-31 23:03:39,2022-06-01 05:13:37,370,88,0,60,164,146,370
197,2022-06-01 21:18:22,2022-06-02 06:28:52,550,88,15,75,240,220,535
198,2022-06-03 00:23:50,2022-06-03 05:13:20,289,73,0,47,114,128,289
199,2022-06-04 00:23:21,2022-06-04 01:33:27,70,86,0,14,23,33,70
200,2022-06-04 18:03:38,2022-06-04 20:03:15,120,80,11,0,79,30,109
201,2022-06-05 01:38:25,2022-06-05 06:03:33,265,64,0,47,101,117,265
202,2022-06-06 23:08:28,2022-06-07 06:07:31,419,90,15,75,157,173,404
203,2022-06-08 02:22:54,2022-06-08 07:43:20,320,77,15,30,114,162,305
204,2022-06-10 22:37:45,2022-06-11 05:13:18,396,93,0,88,175,133,396
205,2022-06-11 23:53:35,2022-06-12 06:12:52,379,91,0,77,133,169,379
206,2022-06-13 19:50:47,2022-06-14 06:00:57,610,93,15,122,203,270,595
207,2022-06-14 18:02:46,2022-06-15 00:56:11,413,89,14,71,164,164,399
208,2022-06-15 03:20:53,2022-06-15 06:00:31,160,88,0,43,69,48,160
209,2022-06-16 23:05:49,2022-06-17 05:27:30,382,93,0,89,133,160,382
210,2022-06-19 23:23:01,2022-06-20 04:44:26,321,79,17,59,173,72,304
211,2022-06-21 14:32:27,2022-06-21 15:43:32,71,86,0,0,31,40,71
212,2022-06-22 00:47:43,2022-06-22 07:12:27,385,93,0,90,150,145,385
213,2022-06-24 18:03:17,2022-06-24 20:07:22,124,80,15,15,30,64,109
214,2022-06-25 00:53:27,2022-06-25 01:42:32,49,74,0,0,9,40,49
215,2022-06-25 05:38:36,2022-06-25 08:42:32,184,60,0,32,72,80,184
216,2022-06-26 10:52:19,2022-06-26 12:42:22,110,91,0,17,45,48,110
217,2022-06-26 23:22:25,2022-06-27 06:13:55,412,90,0,77,166,169,412
218,2022-06-27 11:07:26,2022-06-27 13:27:30,140,89,0,28,52,60,140
219,2022-06-28 23:52:35,2022-06-29 07:42:36,470,84,25,62,163,220,445
220,2022-07-01 02:01:14,2022-07-01 11:29:11,568,90,0,103,190,275,568
221,2022-07-02 00:24:36,2022-07-02 06:25:55,361,83,14,45,129,173,347
222,2022-07-03 01:34:16,2022-07-03 05:29:11,235,65,0,58,83,94,235
223,2022-07-03 23:54:35,2022-07-04 08:44:49,530,86,77,106,189,158,453
224,2022-07-04 12:22:20,2022-07-04 17:57:06,335,40,122,51,89,73,213
225,2022-07-05 19:09:42,2022-07-06 00:14:17,305,84,0,66,105,134,305
226,2022-07-08 00:54:08,2022-07-08 07:14:11,380,90,0,73,164,143,380
227,2022-07-09 18:04:08,2022-07-09 20:29:49,146,86,0,0,60,86,146
228,2022-07-10 02:34:43,2022-07-10 07:24:59,290,79,0,64,102,124,290
229,2022-07-12 00:22:36,2022-07-12 07:58:15,456,94,15,91,185,164,441
230,2022-07-14 00:37:16,2022-07-14 08:14:41,457,95,0,122,160,175,457
231,2022-07-14 21:52:22,2022-07-15 05:02:15,430,90,0,74,190,166,430
232,2022-07-16 00:07:57,2022-07-16 07:17:20,429,90,0,74,178,177,429
233,2022-07-20 23:07:13,2022-07-21 06:42:42,455,88,16,62,155,222,439
234,2022-07-24 20:04:39,2022-07-25 02:13:53,369,80,14,45,169,141,355
235,2022-07-25 16:04:38,2022-07-25 16:58:58,54,81,0,0,39,15,54
236,2022-07-26 01:08:14,2022-07-26 07:18:38,370,90,15,78,146,132,355
237,2022-07-26 23:51:41,2022-07-27 07:27:03,455,88,44,86,140,185,411
238,2022-07-28 00:06:36,2022-07-28 06:57:14,411,84,0,61,206,144,411
239,2022-07-28 20:51:13,2022-07-29 05:41:17,530,89,0,102,159,269,530
240,2022-07-29 23:36:13,2022-07-30 05:46:15,370,96,0,105,156,109,370
241,2022-07-31 03:36:27,2022-07-31 07:12:43,216,65,0,62,80,74,216
242,2022-08-01 05:07:03,2022-08-01 06:11:35,65,83,0,0,52,13,65
243,2022-08-02 00:32:30,2022-08-02 06:41:51,369,89,13,76,124,157,356
244,2022-08-04 00:10:06,2022-08-04 06:40:58,391,93,0,90,147,154,391
245,2022-08-08 00:51:51,2022-08-08 02:16:13,84,84,0,29,24,31,84
